input_laz,output_chm,status,error,hag_max_requested,resolution_requested,tag_hag_max,tag_resolution,tag_source_laz,tag_proc_date,width,height,resolution_x,resolution_y,crs,nodata,total_pixels,valid_pixels,nodata_pixels,nodata_pct,hag_min,hag_max_observed,hag_mean,hag_std,hag_p50,hag_p95,hag_p99
data/lamapuit/laz/579543_2021_madal.laz,data/lamapuit/chm_max_hag_13/579543_2021_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,579543_2021_madal.laz,2026-03-23T15:34:33.948463Z,5000,5000,0.2,0.2,,-9999.0,25000000,13592479,11407521,45.630084,0.0,1.2999999523162842,0.619043231010437,0.6439549922943115,0.06393715739250183,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/579543_2022_madal.laz,data/lamapuit/chm_max_hag_13/579543_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,579543_2022_madal.laz,2026-03-23T15:34:45.029991Z,5000,5000,0.2,0.2,,-9999.0,25000000,13774385,11225615,44.90246,0.0,1.2999999523162842,0.6572613716125488,0.6435788869857788,1.0,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/579543_2023_madal.laz,data/lamapuit/chm_max_hag_13/579543_2023_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,579543_2023_madal.laz,2026-03-23T15:34:47.850188Z,5000,5000,0.2,0.2,,-9999.0,25000000,13917962,11082038,44.328152,0.0,1.2999999523162842,0.6493175029754639,0.6447544097900391,0.2504655122756958,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580535_2017_madal.laz,data/lamapuit/chm_max_hag_13/580535_2017_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580535_2017_madal.laz,2026-03-23T15:34:45.027182Z,5000,5001,0.2,0.2,,-9999.0,25005000,15034330,9970670,39.874705058988205,0.0,1.2999999523162842,0.6880497932434082,0.6451526284217834,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580535_2018_madal.laz,data/lamapuit/chm_max_hag_13/580535_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580535_2018_madal.laz,2026-03-23T15:34:56.708780Z,5000,5000,0.2,0.2,,-9999.0,25000000,17488875,7511125,30.0445,0.0,1.2999999523162842,0.6816798448562622,0.6451495885848999,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580535_2019_madal.laz,data/lamapuit/chm_max_hag_13/580535_2019_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580535_2019_madal.laz,2026-03-23T15:35:14.261089Z,5000,5000,0.2,0.2,,-9999.0,25000000,19135149,5864851,23.459404,0.0,1.2999999523162842,0.7359338998794556,0.6398463249206543,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580535_2020_madal.laz,data/lamapuit/chm_max_hag_13/580535_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580535_2020_madal.laz,2026-03-23T15:35:11.662118Z,5000,5000,0.2,0.2,,-9999.0,25000000,18212383,6787617,27.150468,0.0,1.2999999523162842,0.7340696454048157,0.6401893496513367,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580535_2021_madal.laz,data/lamapuit/chm_max_hag_13/580535_2021_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580535_2021_madal.laz,2026-03-23T15:35:13.810268Z,5000,5000,0.2,0.2,,-9999.0,25000000,18476191,6523809,26.095236,0.0,1.2999999523162842,0.7379593849182129,0.6387653946876526,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580535_2022_madal.laz,data/lamapuit/chm_max_hag_13/580535_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580535_2022_madal.laz,2026-03-23T15:35:24.659428Z,5000,5000,0.2,0.2,,-9999.0,25000000,19212259,5787741,23.150964,0.0,1.2999999523162842,0.7562106251716614,0.6361743211746216,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580535_2023_madal.laz,data/lamapuit/chm_max_hag_13/580535_2023_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580535_2023_madal.laz,2026-03-23T15:35:37.467835Z,5000,5000,0.2,0.2,,-9999.0,25000000,18604378,6395622,25.582488,0.0,1.2999999523162842,0.7425273656845093,0.6383468508720398,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580536_2017_madal.laz,data/lamapuit/chm_max_hag_13/580536_2017_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580536_2017_madal.laz,2026-03-23T15:35:33.169115Z,5000,5001,0.2,0.2,,-9999.0,25005000,15070226,9934774,39.73114977004599,0.0,1.2999999523162842,0.541820228099823,0.6368263959884644,4.171063494595728e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580536_2018_madal.laz,data/lamapuit/chm_max_hag_13/580536_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580536_2018_madal.laz,2026-03-23T15:35:37.466403Z,5000,5000,0.2,0.2,,-9999.0,25000000,17487853,7512147,30.048588,0.0,1.2999999523162842,0.5174638628959656,0.6317528486251831,5.696954019640543e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580536_2019_madal.laz,data/lamapuit/chm_max_hag_13/580536_2019_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580536_2019_madal.laz,2026-03-23T15:35:50.714214Z,5000,5000,0.2,0.2,,-9999.0,25000000,18746964,6253036,25.012144,0.0,1.2999999523162842,0.5815074443817139,0.6416508555412292,1.551009987110774e-08,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580536_2020_madal.laz,data/lamapuit/chm_max_hag_13/580536_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580536_2020_madal.laz,2026-03-23T15:35:54.800303Z,5000,5000,0.2,0.2,,-9999.0,25000000,17874376,7125624,28.502496,0.0,1.2999999523162842,0.5688226222991943,0.6402468681335449,9.003393586226593e-09,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580536_2021_madal.laz,data/lamapuit/chm_max_hag_13/580536_2021_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580536_2021_madal.laz,2026-03-23T15:36:03.262289Z,5000,5000,0.2,0.2,,-9999.0,25000000,18115938,6884062,27.536248,0.0,1.2999999523162842,0.5822473764419556,0.6408602595329285,0.017924882471561432,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580536_2022_madal.laz,data/lamapuit/chm_max_hag_13/580536_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580536_2022_madal.laz,2026-03-23T15:36:05.434521Z,5000,5000,0.2,0.2,,-9999.0,25000000,18651780,6348220,25.39288,0.0,1.2999999523162842,0.6011215448379517,0.6423315405845642,0.024378575384616852,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580536_2023_madal.laz,data/lamapuit/chm_max_hag_13/580536_2023_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580536_2023_madal.laz,2026-03-23T15:36:18.187990Z,5000,5000,0.2,0.2,,-9999.0,25000000,18268186,6731814,26.927256,0.0,1.2999999523162842,0.5801999568939209,0.6403292417526245,0.013718485832214355,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580537_2017_madal.laz,data/lamapuit/chm_max_hag_13/580537_2017_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580537_2017_madal.laz,2026-03-23T15:36:15.151410Z,5000,5001,0.2,0.2,,-9999.0,25005000,15403974,9601026,38.39642471505699,0.0,1.2999999523162842,0.6633952856063843,0.6460192799568176,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580537_2018_madal.laz,data/lamapuit/chm_max_hag_13/580537_2018_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580537_2018_madal.laz,2026-03-23T15:36:27.807039Z,5000,5000,0.2,0.2,,-9999.0,25000000,17718822,7281178,29.124712,0.0,1.2999999523162842,0.6309173107147217,0.645414412021637,0.06251049041748047,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580537_2019_madal.laz,data/lamapuit/chm_max_hag_13/580537_2019_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580537_2019_madal.laz,2026-03-23T15:36:34.479476Z,5000,5000,0.2,0.2,,-9999.0,25000000,19102244,5897756,23.591024,0.0,1.2999999523162842,0.703245222568512,0.6413767337799072,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580537_2020_madal.laz,data/lamapuit/chm_max_hag_13/580537_2020_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580537_2020_madal.laz,2026-03-23T15:36:40.856010Z,5000,5000,0.2,0.2,,-9999.0,25000000,18214773,6785227,27.140908,0.0,1.2999999523162842,0.6634898781776428,0.6433804035186768,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580537_2021_madal.laz,data/lamapuit/chm_max_hag_13/580537_2021_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580537_2021_madal.laz,2026-03-23T15:36:46.188172Z,5000,5000,0.2,0.2,,-9999.0,25000000,18831806,6168194,24.672776,0.0,1.2999999523162842,0.7000686526298523,0.6404305696487427,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580537_2022_madal.laz,data/lamapuit/chm_max_hag_13/580537_2022_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580537_2022_madal.laz,2026-03-23T15:36:55.196237Z,5000,5000,0.2,0.2,,-9999.0,25000000,18987699,6012301,24.049204,0.0,1.2999999523162842,0.7163486480712891,0.6377741694450378,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580537_2023_madal.laz,data/lamapuit/chm_max_hag_13/580537_2023_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580537_2023_madal.laz,2026-03-23T15:37:00.920269Z,5000,5000,0.2,0.2,,-9999.0,25000000,18583170,6416830,25.66732,0.0,1.2999999523162842,0.6822678446769714,0.6388024091720581,1.2999999523162842,1.2999999523162842,1.2999999523162842
data/lamapuit/laz/580538_2017_madal.laz,data/lamapuit/chm_max_hag_13/580538_2017_madal_chm_max_hag_20cm.tif,skipped_existing,,1.3,0.2,1.3,0.2,580538_2017_madal.laz,2026-03-23T15:36:57.286951Z,5000,5001,0.2,0.2,,-9999.0,25005000,14903802,10101198,40.396712657468505,0.0,1.2999999523162842,0.5489436984062195,0.6336506605148315,0.000582073931582272,1.2999999523162842,1.2999999523162842
