year,chm_name,chm_path,variant_id,source_root,relative_parent,mean_f1,mean_auc,mean_precision,mean_recall,mean_accuracy,n_models
2022,436646_2022_madal_exp_split_rgb_lowest_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2022_madal_exp_split_rgb_lowest_ground_all_20cm.tif,madal_exp_split_rgb_lowest_ground_all_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.33980731298878236,0.9744870908252651,1.0,0.22361111111111112,0.7096103896103896,5
2022,436646_2022_madal_exp_split_rgb_lowest_ground_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2022_madal_exp_split_rgb_lowest_ground_last2_20cm.tif,madal_exp_split_rgb_lowest_ground_last2_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.33980731298878236,0.9744870908252651,1.0,0.22361111111111112,0.7096103896103896,5
2022,436646_2022_madal_exp_split_rgb_lowest_ground_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2022_madal_exp_split_rgb_lowest_ground_last_20cm.tif,madal_exp_split_rgb_lowest_ground_last_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.3343298240861526,0.9741124942369754,1.0,0.22083333333333335,0.7085714285714285,5
2024,436646_2024_madal_exp_return_chm13_lowest_all_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2024_madal_exp_return_chm13_lowest_all_last2_20cm.tif,madal_exp_return_chm13_lowest_all_last2_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.3337497285323372,0.8735514655760055,0.925,0.2111111111111111,0.9182320441988949,5
2018,436646_2018_madal_exp_return_chm13_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_exp_return_chm13_lowest_all_all_20cm.tif,madal_exp_return_chm13_lowest_all_all_20cm,lamapuit,cdw_experiments_436646_refactor_smoketest/lowest_all,0.3213614428227431,0.8914072229140722,0.431737400530504,0.2909090909090909,0.9127388535031848,5
2018,436646_2018_madal_delta_vs_original_median_all_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/median_all/436646_2018_madal_delta_vs_original_median_all_last_20cm.tif,madal_delta_vs_original_median_all_last_20cm,lamapuit,cdw_experiments_436646/median_all,0.3163696060037523,0.9103051058530511,0.4148606811145511,0.2636363636363636,0.9312101910828027,5
2018,436646_2018_madal_exp_intensity_04_13_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_all/436646_2018_madal_exp_intensity_04_13_lowest_all_all_20cm.tif,madal_exp_intensity_04_13_lowest_all_all_20cm,lamapuit,cdw_experiments_436646/lowest_all,0.30566505390034804,0.9052926525529266,0.3045621045621046,0.33636363636363636,0.9101910828025478,5
2018,436646_2018_madal_exp_intensity_04_13_lowest_all_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646_refactor_smoketest/lowest_all/436646_2018_madal_exp_intensity_04_13_lowest_all_all_20cm.tif,madal_exp_intensity_04_13_lowest_all_all_20cm,lamapuit,cdw_experiments_436646_refactor_smoketest/lowest_all,0.3044766997708174,0.9064134495641344,0.306557210905037,0.33636363636363636,0.9101910828025478,5
2018,436646_2018_madal_exp_split_rgb_lowest_ground_all_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2018_madal_exp_split_rgb_lowest_ground_all_20cm.tif,madal_exp_split_rgb_lowest_ground_all_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.29540740740740745,0.9253424657534246,1.0,0.18181818181818182,0.9426751592356688,5
2018,436646_2018_madal_exp_split_rgb_lowest_ground_last2_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2018_madal_exp_split_rgb_lowest_ground_last2_20cm.tif,madal_exp_split_rgb_lowest_ground_last2_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.29540740740740745,0.9253424657534246,1.0,0.18181818181818182,0.9426751592356688,5
2018,436646_2018_madal_exp_split_rgb_lowest_ground_last_20cm.tif,/workspace/data/lamapuit/cdw_experiments_436646/lowest_ground/436646_2018_madal_exp_split_rgb_lowest_ground_last_20cm.tif,madal_exp_split_rgb_lowest_ground_last_20cm,lamapuit,cdw_experiments_436646/lowest_ground,0.29540740740740745,0.9256226650062267,1.0,0.18181818181818182,0.9426751592356688,5
