raster,width,height,nodata,valid_pixels,min_val,max_val,p95,p99,above_clip_count,above_clip_pct,tag_hag_max
580543_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18563534,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
580543_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17790934,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
581543_2017_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,15299387,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
581543_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18173657,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
581543_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19489411,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
581543_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18975071,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
581543_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19685623,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
581543_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19307642,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
581543_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19314609,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
582543_2017_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,14370743,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
582543_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,16455733,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
582543_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18165168,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
582543_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18619550,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
582543_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18159728,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
582543_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18097066,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
582543_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,18323609,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
594728_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,8604229,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
594728_2022_tava_chm_max_hag_20cm.tif,5000,5000,-9999.0,8271538,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
601546_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19376544,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
601546_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19078179,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
601546_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19537575,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
601546_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19501685,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
601546_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19193961,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
601546_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,19003787,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2017_madal_chm_max_hag_20cm.tif,5000,5002,-9999.0,11920610,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2018_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,13981505,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2019_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,17011488,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2020_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,14817874,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2021_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,16244566,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2022_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,14467181,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2023_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,16875637,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
602546_2024_madal_chm_max_hag_20cm.tif,5000,5000,-9999.0,14805366,0.0,1.2999999523162842,1.2999999523162842,1.2999999523162842,0,0.0,1.3
